RA;Dec;Magnitude;"Exposure middle";"Uploaded by"
"05h48m23.997s";"+30°57'03.28""";1.0395023;"2022-03-02 19:38:11.342";rasto_muni
"05h48m23.993s";"+30°57'03.04""";1.0337452;"2022-03-02 19:35:08.779";rasto_muni
"05h48m23.996s";"+30°57'03.17""";1.0268143;"2022-03-02 19:24:29.849";rasto_muni
"05h48m23.999s";"+30°57'03.19""";1.0339003;"2022-03-02 19:33:37.471";rasto_muni
"05h48m24.002s";"+30°57'03.37""";1.0330473;"2022-03-02 19:32:06.327";rasto_muni
"05h48m23.999s";"+30°57'03.17""";1.0250602;"2022-03-02 19:29:03.702";rasto_muni
"05h48m23.994s";"+30°57'03.23""";1.0344602;"2022-03-02 19:30:35.30";rasto_muni
"05h48m24.002s";"+30°57'03.17""";1.0293225;"2022-03-02 19:27:32.433";rasto_muni
"05h48m23.999s";"+30°57'03.21""";1.0301707;"2022-03-02 19:26:01.149";rasto_muni
"05h48m23.981s";"+30°57'03.25""";1.0234874;"2022-03-02 19:19:55.798";rasto_muni
"05h48m23.995s";"+30°57'03.22""";1.0188398;"2022-03-02 19:22:58.545";rasto_muni
"05h48m23.998s";"+30°57'03.32""";1.0227948;"2022-03-02 19:21:27.242";rasto_muni
"05h48m24.001s";"+30°57'03.15""";1.0198349;"2022-03-02 19:15:21.945";rasto_muni
"05h48m23.997s";"+30°57'03.13""";1.0189112;"2022-03-02 19:16:53.235";rasto_muni
"05h48m23.991s";"+30°57'03.22""";1.0210227;"2022-03-02 19:18:24.550";rasto_muni
"05h48m23.991s";"+30°57'03.29""";1.0123209;"2022-03-02 19:12:19.152";rasto_muni
"05h48m23.998s";"+30°57'03.19""";1.0137471;"2022-03-02 19:13:50.612";rasto_muni
"05h48m23.989s";"+30°57'03.25""";1.0174335;"2022-03-02 19:10:47.846";rasto_muni
"05h48m23.988s";"+30°57'03.31""";1.0065173;"2022-03-02 19:09:16.445";rasto_muni
"05h48m23.994s";"+30°57'03.29""";1.0026753;"2022-03-02 19:01:39.904";rasto_muni
"05h48m23.989s";"+30°57'03.27""";1.0148336;"2022-03-02 19:06:13.940";rasto_muni
"05h48m23.988s";"+30°57'03.08""";1.0125904;"2022-03-02 19:03:11.338";rasto_muni
"05h48m23.996s";"+30°57'03.13""";1.0154964;"2022-03-02 19:07:45.194";rasto_muni
"05h48m24.001s";"+30°57'03.29""";1.0075936;"2022-03-02 19:04:42.756";rasto_muni
"05h48m23.999s";"+30°57'03.09""";1.003854;"2022-03-02 18:58:37.213";rasto_muni
"05h48m23.991s";"+30°57'03.12""";0.9994292;"2022-03-02 19:00:08.602";rasto_muni
"05h48m23.988s";"+30°57'03.24""";1.0094146;"2022-03-02 18:55:34.544";rasto_muni
"05h48m23.981s";"+30°57'03.13""";1.0029112;"2022-03-02 18:57:05.838";rasto_muni
"05h48m23.992s";"+30°57'03.06""";1.0042362;"2022-03-02 18:54:03.169";rasto_muni
"05h48m23.990s";"+30°57'03.22""";1.009855;"2022-03-02 18:47:57.942";rasto_muni
"05h48m23.995s";"+30°57'03.12""";1.004643;"2022-03-02 18:51:00.575";rasto_muni
"05h48m23.991s";"+30°57'03.16""";1.005717;"2022-03-02 18:52:31.845";rasto_muni
"05h48m23.988s";"+30°57'03.12""";0.9977121;"2022-03-02 18:49:29.259";rasto_muni
"05h48m24.000s";"+30°57'03.07""";1.0149791;"2022-03-02 18:46:26.737";rasto_muni
"05h48m23.989s";"+30°57'03.04""";1.0097772;"2022-03-02 18:43:24.207";rasto_muni
"05h48m23.993s";"+30°57'03.14""";1.0026891;"2022-03-02 18:44:55.465";rasto_muni
"05h48m23.980s";"+30°57'03.02""";1.0078952;"2022-03-02 18:32:44.178";rasto_muni
"05h48m23.996s";"+30°57'03.24""";1.0007237;"2022-03-02 18:41:52.663";rasto_muni
"05h48m23.991s";"+30°57'03.09""";0.9981886;"2022-03-02 18:38:49.831";rasto_muni
"05h48m23.988s";"+30°57'02.99""";1.0016428;"2022-03-02 18:37:18.326";rasto_muni
"05h48m23.986s";"+30°57'03.16""";1.0033942;"2022-03-02 18:40:21.239";rasto_muni
